TS,VS,pH,C_N,Food_pct,Weed_pct,Day,Biogass_Yield
20,85,7,20,100,0,1,48
20,85,7,20,100,0,2,52
20,85,7,20,100,0,3,60
20,85,7,20,100,0,4,68
20,85,7,20,100,0,5,75
20,85,7,20,100,0,6,82
20,85,7,20,100,0,7,88
20,85,7,20,100,0,8,92
20,85,7,20,100,0,9,95
20,85,7,20,100,0,10,97
,,,,,,,
,,,,,,,
22.5,83.75,7.05,23.75,75,25,1,55
22.5,83.75,7.05,23.75,75,25,2,63
22.5,83.75,7.05,23.75,75,25,3,72
22.5,83.75,7.05,23.75,75,25,4,82
22.5,83.75,7.05,23.75,75,25,5,90
22.5,83.75,7.05,23.75,75,25,6,98
22.5,83.75,7.05,23.75,75,25,7,104
22.5,83.75,7.05,23.75,75,25,8,108
22.5,83.75,7.05,23.75,75,25,9,110
22.5,83.75,7.05,23.75,75,25,10,112
,,,,,,,
,,,,,,,
25,82.5,7.1,27.5,50,50,1,62
25,82.5,7.1,27.5,50,50,2,74
25,82.5,7.1,27.5,50,50,3,88
25,82.5,7.1,27.5,50,50,4,102
25,82.5,7.1,27.5,50,50,5,118
25,82.5,7.1,27.5,50,50,6,132
25,82.5,7.1,27.5,50,50,7,145
25,82.5,7.1,27.5,50,50,8,155
25,82.5,7.1,27.5,50,50,9,160
25,82.5,7.1,27.5,50,50,10,165
,,,,,,,
,,,,,,,
27.5,81.25,7.15,31.25,25,75,1,50
27.5,81.25,7.15,31.25,25,75,2,58
27.5,81.25,7.15,31.25,25,75,3,65
27.5,81.25,7.15,31.25,25,75,4,72
27.5,81.25,7.15,31.25,25,75,5,80
27.5,81.25,7.15,31.25,25,75,6,86
27.5,81.25,7.15,31.25,25,75,7,90
27.5,81.25,7.15,31.25,25,75,8,93
27.5,81.25,7.15,31.25,25,75,9,95
27.5,81.25,7.15,31.25,25,75,10,97
